 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0       -4.962723   -1.644202   -2.182488
      2          6           0       -3.863026   -1.917847   -1.151298
      3          6           0       -2.938878   -0.717875   -0.886921
      4          6           0       -1.690990   -1.089926   -0.030063
      5          6           0       -1.386247    0.176483    0.819169
      6          6           0       -0.535244    1.266661    0.124595
      7          6           0        1.009436    1.160969    0.257205
      8          6           0        1.768207    0.384760   -0.846432
      9          6           0        1.966227   -1.141266   -0.598534
     10          6           0        0.759785   -1.911005   -0.045697
     11          6           0       -0.538877   -1.674836   -0.856070
     12          6           0        3.245616    0.833990   -1.050128
     13          6           0        3.996815    0.106329    0.077231
     14          6           0        3.310415   -1.279664    0.216878
     15          6           0        3.185490   -1.731936    1.682762
     16          6           0        4.544062   -1.937082    2.363625
     17          6           0        3.554071    2.333040   -1.148883
     18          6           0        2.845465    3.047297   -2.305262
     19          6           0       -2.831159    0.624251    1.187480
     20          6           0       -3.625502    0.454928   -0.126812
     21          6           0       -2.996429    1.982007    1.881697
     22          6           0       -4.405224    2.210916    2.443767
     23          1           0       -5.610778   -0.817488   -1.872045
     24          1           0       -5.598035   -2.523763   -2.330254
     25          1           0       -4.532642   -1.377529   -3.154804
     26          1           0       -3.260035   -2.769612   -1.493080
     27          1           0       -4.318116   -2.230606   -0.200674
     28          1           0       -2.586778   -0.352832   -1.862509
     29          1           0       -2.006465   -1.863329    0.688104
     30          1           0       -0.863005   -0.099809    1.744282
     31          1           0       -0.803412    1.351406   -0.937455
     32          1           0       -0.810793    2.227973    0.569439
     33          1           0        1.384251    2.189800    0.253608
     34          1           0        1.257979    0.769240    1.252040
     35          1           0        1.219827    0.539533   -1.783799
     36          1           0        2.171374   -1.564984   -1.592200
     37          1           0        0.590208   -1.639640    1.000698
     38          1           0        1.005038   -2.980088   -0.032137
     39          1           0       -0.334183   -1.008507   -1.701978
     40          1           0       -0.876428   -2.615878   -1.306822
     41          1           0        3.563226    0.381795   -2.003281
     42          1           0        3.886909    0.674616    1.011944
     43          1           0        5.072022    0.033474   -0.118235
     44          1           0        3.926919   -2.035553   -0.288806
     45          1           0        2.622965   -2.671576    1.734897
     46          1           0        2.604303   -0.994326    2.252996
     47          1           0        4.421599   -2.281681    3.395741
     48          1           0        5.128186   -1.011425    2.391611
     49          1           0        5.140858   -2.687233    1.831513
     50          1           0        3.313656    2.833059   -0.201793
     51          1           0        4.639769    2.446706   -1.270454
     52          1           0        3.084282    2.575834   -3.265565
     53          1           0        1.756731    3.023811   -2.189962
     54          1           0        3.148035    4.097744   -2.367686
     55          1           0       -3.200202   -0.138197    1.891163
     56          1           0       -4.686872    0.258670    0.060085
     57          1           0       -3.579864    1.380872   -0.713782
     58          1           0       -2.267381    2.060023    2.700029
     59          1           0       -2.759553    2.793296    1.181630
     60          1           0       -4.475622    3.176607    2.954962
     61          1           0       -5.160881    2.201663    1.651313
     62          1           0       -4.674832    1.431995    3.166330
