 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0       -5.051751   -1.695459   -1.872427
      2          6           0       -3.546115   -1.512885   -1.644640
      3          6           0       -3.193056   -1.220144   -0.174350
      4          6           0       -1.654538   -1.116981    0.187440
      5          6           0       -1.404446    0.379422    0.542157
      6          6           0       -0.985841    1.302625   -0.623127
      7          6           0        0.402403    1.057457   -1.269161
      8          6           0        1.534563    0.685492   -0.300158
      9          6           0        1.508120   -0.762398    0.304728
     10          6           0        0.788350   -1.875355   -0.492309
     11          6           0       -0.717997   -1.768126   -0.840142
     12          6           0        2.959997    0.841873   -0.889205
     13          6           0        3.824827    0.098523    0.141588
     14          6           0        3.011780   -1.158478    0.506552
     15          6           0        3.308986   -1.731549    1.899515
     16          6           0        4.746480   -2.230905    2.079717
     17          6           0        3.392998    2.290388   -1.151398
     18          6           0        4.787895    2.425677   -1.773735
     19          6           0       -2.751187    0.774255    1.212034
     20          6           0       -3.812851    0.116928    0.314682
     21          6           0       -2.970715    2.264464    1.503495
     22          6           0       -4.206333    2.545031    2.367668
     23          1           0       -5.266926   -1.929121   -2.920338
     24          1           0       -5.444537   -2.516916   -1.261653
     25          1           0       -5.615785   -0.793700   -1.612919
     26          1           0       -3.180467   -0.698409   -2.284855
     27          1           0       -3.032836   -2.420736   -1.981164
     28          1           0       -3.613637   -2.046373    0.415151
     29          1           0       -1.530050   -1.667525    1.131249
     30          1           0       -0.620428    0.454539    1.302082
     31          1           0       -0.980277    2.327378   -0.232601
     32          1           0       -1.745838    1.293363   -1.415512
     33          1           0        0.345004    0.302051   -2.057979
     34          1           0        0.676813    1.985948   -1.784989
     35          1           0        1.483356    1.385172    0.550056
     36          1           0        1.036092   -0.718790    1.292172
     37          1           0        1.330010   -2.043372   -1.433472
     38          1           0        0.937637   -2.795497    0.089860
     39          1           0       -1.068274   -2.794113   -1.012937
     40          1           0       -0.840477   -1.264873   -1.802291
     41          1           0        3.002972    0.289900   -1.842915
     42          1           0        3.951669    0.738159    1.028583
     43          1           0        4.827182   -0.141450   -0.226117
     44          1           0        3.256941   -1.937814   -0.230435
     45          1           0        3.090758   -0.962132    2.653838
     46          1           0        2.614198   -2.558619    2.100165
     47          1           0        4.988042   -3.011192    1.348586
     48          1           0        5.473068   -1.421846    1.950703
     49          1           0        4.897653   -2.654022    3.078267
     50          1           0        2.665988    2.777439   -1.813237
     51          1           0        3.359643    2.845453   -0.202761
     52          1           0        5.566608    2.028555   -1.114718
     53          1           0        4.850795    1.882903   -2.724050
     54          1           0        5.030109    3.474306   -1.975318
     55          1           0       -2.767916    0.250153    2.181002
     56          1           0       -4.016851    0.770765   -0.545236
     57          1           0       -4.768180   -0.027750    0.828382
     58          1           0       -2.082506    2.665743    2.010903
     59          1           0       -3.060266    2.818626    0.560520
     60          1           0       -5.127221    2.220582    1.872104
     61          1           0       -4.306037    3.614452    2.580511
     62          1           0       -4.145434    2.019643    3.327811
