 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        5.048387    1.211138   -1.086924
      2          6           0        3.684597    0.607483   -0.724606
      3          6           0        3.661674   -0.947378   -0.429879
      4          6           0        3.053588   -1.007001    1.000435
      5          6           0        1.541657   -0.634767    0.987008
      6          6           0        1.581858    0.928566    0.714366
      7          6           0        3.105738    1.207515    0.588419
      8          6           0        3.670013    0.246082    1.653188
      9          6           0        0.707729    1.486214   -0.418408
     10          6           0       -0.807215    1.556577   -0.077425
     11          6           0       -1.701134    0.718278   -1.002343
     12          6           0       -1.690990   -0.857600   -0.812658
     13          6           0       -0.860691   -1.451713    0.338177
     14          6           0        0.670520   -1.518350    0.078004
     15          6           0       -3.209019   -1.194544   -0.783867
     16          6           0       -3.750045   -0.179820   -1.815246
     17          6           0       -3.223852    1.049746   -1.039091
     18          6           0       -3.993132    0.844909    0.297609
     19          6           0       -3.865698   -0.699251    0.537458
     20          6           0       -5.204212   -1.378951    0.845605
     21          6           0       -3.670363    1.722402    1.510147
     22          6           0        5.009508   -1.676848   -0.517382
     23          1           0        4.942339    2.283039   -1.286993
     24          1           0        5.782866    1.099916   -0.282705
     25          1           0        5.471180    0.751553   -1.986006
     26          1           0        3.014282    0.821660   -1.563842
     27          1           0        2.995063   -1.438126   -1.146289
     28          1           0        3.246031   -1.960381    1.504722
     29          1           0        1.173793   -0.789056    2.010297
     30          1           0        1.253362    1.435140    1.631952
     31          1           0        3.349801    2.267960    0.715584
     32          1           0        4.763175    0.227644    1.698295
     33          1           0        3.287742    0.443723    2.660895
     34          1           0        0.850024    0.911220   -1.340117
     35          1           0        1.069457    2.496383   -0.649304
     36          1           0       -1.141004    2.599524   -0.141416
     37          1           0       -0.950061    1.270814    0.967791
     38          1           0       -1.345115    0.925292   -2.021043
     39          1           0       -1.294343   -1.304372   -1.734276
     40          1           0       -1.229308   -2.471782    0.506067
     41          1           0       -1.049352   -0.920700    1.277599
     42          1           0        1.003496   -2.553527    0.227365
     43          1           0        0.867145   -1.304323   -0.978257
     44          1           0       -3.408450   -2.251275   -0.993065
     45          1           0       -4.839666   -0.192450   -1.921168
     46          1           0       -3.303351   -0.297021   -2.808614
     47          1           0       -3.425115    2.026613   -1.492986
     48          1           0       -5.044589    1.051500    0.048561
     49          1           0       -3.198503   -0.885890    1.386718
     50          1           0       -5.900166   -1.295680    0.002933
     51          1           0       -5.070688   -2.444800    1.062303
     52          1           0       -5.687448   -0.921823    1.716961
     53          1           0       -2.696130    1.499987    1.950848
     54          1           0       -3.684906    2.786900    1.250147
     55          1           0       -4.421008    1.569064    2.294172
     56          1           0        4.871258   -2.744005   -0.311611
     57          1           0        5.453678   -1.591616   -1.514189
     58          1           0        5.741014   -1.297245    0.203147
