 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0       -5.185522    1.425713   -0.269875
      2          6           0       -3.764586    0.856834   -0.395952
      3          6           0       -3.649774   -0.659183   -0.833669
      4          6           0       -2.923861   -1.308661    0.378713
      5          6           0       -1.422329   -0.919371    0.418527
      6          6           0       -1.475910    0.623527    0.776944
      7          6           0       -3.009007    0.867247    0.963334
      8          6           0       -3.460873   -0.480423    1.563325
      9          6           0       -0.791551    1.654960   -0.147433
     10          6           0        0.720337    1.500289   -0.476020
     11          6           0        1.564977    0.836734    0.618884
     12          6           0        1.598805   -0.746776    0.634211
     13          6           0        0.938788   -1.535560   -0.516736
     14          6           0       -0.577770   -1.325516   -0.795304
     15          6           0        3.119637   -1.041681    0.828636
     16          6           0        3.529459    0.133041    1.745648
     17          6           0        3.069798    1.216624    0.742307
     18          6           0        3.967486    0.841811   -0.470038
     19          6           0        3.932343   -0.726947   -0.460080
     20          6           0        5.325498   -1.366554   -0.470136
     21          6           0        3.694317    1.483262   -1.832891
     22          6           0       -4.966287   -1.368805   -1.175856
     23          1           0       -5.787612    0.902173    0.479289
     24          1           0       -5.726873    1.376792   -1.219907
     25          1           0       -5.140078    2.479706    0.025805
     26          1           0       -3.250239    1.482404   -1.131153
     27          1           0       -3.014588   -0.723897   -1.724423
     28          1           0       -3.076777   -2.392000    0.436962
     29          1           0       -1.009772   -1.446176    1.287956
     30          1           0       -1.024194    0.745807    1.768719
     31          1           0       -3.224429    1.759325    1.561541
     32          1           0       -4.543025   -0.557585    1.704841
     33          1           0       -2.972420   -0.720635    2.514240
     34          1           0       -1.322790    1.727210   -1.101816
     35          1           0       -0.939051    2.629743    0.337588
     36          1           0        1.113555    2.504925   -0.675013
     37          1           0        0.833761    0.955592   -1.416537
     38          1           0        1.133630    1.158742    1.575416
     39          1           0        1.106448   -1.077585    1.556358
     40          1           0        1.098390   -2.596157   -0.278971
     41          1           0        1.472679   -1.369515   -1.457833
     42          1           0       -0.710687   -0.596184   -1.600318
     43          1           0       -0.968686   -2.269804   -1.196608
     44          1           0        3.307641   -2.047926    1.218774
     45          1           0        2.982110    0.153170    2.694314
     46          1           0        4.601691    0.168408    1.963569
     47          1           0        3.208623    2.255851    1.061097
     48          1           0        4.982640    1.152462   -0.181896
     49          1           0        3.405053   -1.087703   -1.349170
     50          1           0        5.262358   -2.459590   -0.517017
     51          1           0        5.897618   -1.104803    0.427144
     52          1           0        5.905064   -1.030644   -1.337903
     53          1           0        2.752136    1.150364   -2.274423
     54          1           0        4.492614    1.224086   -2.538092
     55          1           0        3.663516    2.576568   -1.763527
     56          1           0       -5.492926   -0.875965   -1.999471
     57          1           0       -5.651587   -1.409945   -0.322864
     58          1           0       -4.767632   -2.400605   -1.485906
