 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        1.776590    0.706391    0.323131
      2          6           0        1.776590   -0.706391    0.323131
      3          6           0        2.975558   -1.382150    0.059501
      4          6           0        4.161618   -0.696777   -0.206471
      5          6           0        4.161618    0.696776   -0.206471
      6          6           0        2.975558    1.382150    0.059500
      7          6           0        0.518937   -1.509544    0.587437
      8          6           0       -0.518937   -1.509544   -0.587435
      9          6           0       -1.776589   -0.706390   -0.323130
     10          6           0       -1.776589    0.706391   -0.323130
     11          6           0       -2.975559    1.382149   -0.059500
     12          6           0       -4.161619    0.696776    0.206470
     13          6           0       -4.161618   -0.696777    0.206469
     14          6           0       -2.975558   -1.382150   -0.059501
     15          6           0       -0.518937    1.509545   -0.587435
     16          6           0        0.518937    1.509544    0.587436
     17          1           0        2.976896   -2.470213    0.067127
     18          1           0        5.076138   -1.248969   -0.406596
     19          1           0        5.076138    1.248968   -0.406596
     20          1           0        2.976896    2.470212    0.067125
     21          1           0        0.813515   -2.545298    0.789087
     22          1           0        0.021359   -1.155185    1.498689
     23          1           0       -0.813515   -2.545298   -0.789086
     24          1           0       -0.021359   -1.155185   -1.498688
     25          1           0       -2.976896    2.470212   -0.067126
     26          1           0       -5.076139    1.248968    0.406594
     27          1           0       -5.076139   -1.248969    0.406593
     28          1           0       -2.976895   -2.470213   -0.067127
     29          1           0       -0.021360    1.155187   -1.498689
     30          1           0       -0.813516    2.545298   -0.789084
     31          1           0        0.813516    2.545298    0.789085
     32          1           0        0.021360    1.155187    1.498689
