 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        1.776640    0.706242    0.322628
      2          6           0        1.776640   -0.706242    0.322628
      3          6           0        2.975331   -1.381594    0.059402
      4          6           0        4.160831   -0.696416   -0.206082
      5          6           0        4.160831    0.696415   -0.206084
      6          6           0        2.975332    1.381594    0.059400
      7          6           0        0.519326   -1.508859    0.586848
      8          6           0       -0.519326   -1.508859   -0.586847
      9          6           0       -1.776640   -0.706242   -0.322628
     10          6           0       -1.776640    0.706243   -0.322627
     11          6           0       -2.975332    1.381593   -0.059401
     12          6           0       -4.160831    0.696415    0.206082
     13          6           0       -4.160831   -0.696416    0.206081
     14          6           0       -2.975332   -1.381594   -0.059403
     15          6           0       -0.519326    1.508861   -0.586846
     16          6           0        0.519327    1.508860    0.586848
     17          1           0        2.976676   -2.469031    0.067157
     18          1           0        5.074913   -1.248094   -0.405864
     19          1           0        5.074913    1.248092   -0.405867
     20          1           0        2.976676    2.469030    0.067154
     21          1           0        0.814049   -2.543444    0.788811
     22          1           0        0.022936   -1.154015    1.497463
     23          1           0       -0.814049   -2.543444   -0.788808
     24          1           0       -0.022936   -1.154016   -1.497461
     25          1           0       -2.976676    2.469030   -0.067154
     26          1           0       -5.074913    1.248093    0.405864
     27          1           0       -5.074913   -1.248094    0.405862
     28          1           0       -2.976675   -2.469030   -0.067157
     29          1           0       -0.022938    1.154018   -1.497462
     30          1           0       -0.814051    2.543445   -0.788806
     31          1           0        0.814052    2.543445    0.788808
     32          1           0        0.022937    1.154018    1.497463
