 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        1.423936    0.835563    0.337574
      2          6           0        2.097667    1.435178   -0.735581
      3          6           0        2.904460    0.698003   -1.602294
      4          6           0        3.049183   -0.674347   -1.405720
      5          6           0        2.381094   -1.286038   -0.345507
      6          6           0        1.568016   -0.555088    0.529706
      7          6           0        0.836126   -1.273477    1.641068
      8          6           0       -0.609736   -1.725689    1.266757
      9          6           0       -1.423936   -0.835561    0.337580
     10          6           0       -2.097667   -1.435182   -0.735572
     11          6           0       -2.904462   -0.698012   -1.602287
     12          6           0       -3.049184    0.674339   -1.405721
     13          6           0       -2.381095    1.286036   -0.345513
     14          6           0       -1.568015    0.555091    0.529704
     15          6           0       -0.836124    1.273486    1.641061
     16          6           0        0.609737    1.725696    1.266747
     17          1           0        1.987642    2.506125   -0.892319
     18          1           0        3.414154    1.194304   -2.423965
     19          1           0        3.675730   -1.264585   -2.069252
     20          1           0        2.491826   -2.357025   -0.186747
     21          1           0        0.813723   -0.645894    2.537017
     22          1           0        1.396985   -2.172410    1.923737
     23          1           0       -1.164931   -1.885863    2.203327
     24          1           0       -0.541570   -2.711137    0.792216
     25          1           0       -1.987643   -2.506130   -0.892303
     26          1           0       -3.414156   -1.194318   -2.423955
     27          1           0       -3.675732    1.264573   -2.069256
     28          1           0       -2.491826    2.357024   -0.186759
     29          1           0       -0.813722    0.645908    2.537014
     30          1           0       -1.396984    2.172421    1.923726
     31          1           0        0.541571    2.711141    0.792201
     32          1           0        1.164933    1.885875    2.203316
