 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0       -1.425770   -0.835294    0.336019
      2          6           0       -2.102688   -1.434077   -0.735032
      3          6           0       -2.911474   -0.696610   -1.598664
      4          6           0       -3.055023    0.675119   -1.401477
      5          6           0       -2.383969    1.286229   -0.343583
      6          6           0       -1.569079    0.555165    0.529169
      7          6           0       -0.834541    1.272879    1.638552
      8          6           0        0.609717    1.725967    1.261943
      9          6           0        1.425769    0.835292    0.336024
     10          6           0        2.102689    1.434081   -0.735022
     11          6           0        2.911477    0.696620   -1.598657
     12          6           0        3.055025   -0.675110   -1.401479
     13          6           0        2.383969   -1.286227   -0.343590
     14          6           0        1.569077   -0.555169    0.529165
     15          6           0        0.834539   -1.272890    1.638545
     16          6           0       -0.609720   -1.725973    1.261935
     17          1           0       -1.993428   -2.504382   -0.892549
     18          1           0       -3.423431   -1.192139   -2.418514
     19          1           0       -3.682822    1.265303   -2.062779
     20          1           0       -2.493701    2.356650   -0.184579
     21          1           0       -0.810770    0.644873    2.533130
     22          1           0       -1.395371    2.170181    1.922732
     23          1           0        1.165785    1.889560    2.196394
     24          1           0        0.540109    2.708960    0.784635
     25          1           0        1.993430    2.504387   -0.892533
     26          1           0        3.423436    1.192154   -2.418502
     27          1           0        3.682825   -1.265291   -2.062783
     28          1           0        2.493700   -2.356649   -0.184593
     29          1           0        0.810771   -0.644890    2.533127
     30          1           0        1.395370   -2.170194    1.922717
     31          1           0       -0.540116   -2.708966    0.784626
     32          1           0       -1.165788   -1.889567    2.196387
