 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0       -3.235812   -1.123373   -0.296103
      2          6           0       -3.352231    0.000003   -1.351243
      3          6           0       -3.235813    1.123375   -0.296099
      4          6           0       -1.836863    0.792467    0.353893
      5          6           0       -1.836864   -0.792467    0.353893
      6          6           0       -0.680749   -1.501533   -0.373486
      7          6           0        0.680750   -1.501530    0.373491
      8          6           0        1.836863   -0.792467   -0.353893
      9          6           0        1.836863    0.792467   -0.353893
     10          6           0        0.680750    1.501530    0.373490
     11          6           0       -0.680748    1.501532   -0.373488
     12          6           0        3.235813   -1.123373    0.296101
     13          6           0        3.352230    0.000001    1.351242
     14          6           0        3.235813    1.123374    0.296099
     15          6           0        4.295787    0.669701   -0.697112
     16          6           0        4.295787   -0.669702   -0.697110
     17          6           0       -4.295785    0.669700    0.697112
     18          6           0       -4.295789   -0.669703    0.697105
     19          1           0       -3.320444   -2.154114   -0.649882
     20          1           0       -4.316321    0.000003   -1.867480
     21          1           0       -2.544258    0.000004   -2.090488
     22          1           0       -3.320445    2.154117   -0.649873
     23          1           0       -1.836103    1.157049    1.387666
     24          1           0       -1.836105   -1.157049    1.387665
     25          1           0       -0.991560   -2.542912   -0.522375
     26          1           0       -0.552212   -1.095122   -1.383261
     27          1           0        0.552213   -1.095113    1.383263
     28          1           0        0.991562   -2.542908    0.522385
     29          1           0        1.836102   -1.157050   -1.387665
     30          1           0        1.836102    1.157050   -1.387666
     31          1           0        0.991561    2.542908    0.522385
     32          1           0        0.552213    1.095112    1.383262
     33          1           0       -0.552212    1.095119   -1.383261
     34          1           0       -0.991559    2.542911   -0.522378
     35          1           0        3.320444   -2.154114    0.649877
     36          1           0        2.544255    0.000002    2.090486
     37          1           0        4.316319    0.000001    1.867480
     38          1           0        3.320445    2.154116    0.649874
     39          1           0        4.849896    1.329972   -1.356046
     40          1           0        4.849896   -1.329975   -1.356043
     41          1           0       -4.849894    1.329970    1.356048
     42          1           0       -4.849900   -1.329977    1.356036
