 ---------------------------------------------------------------------
 Center     Atomic      Atomic             Coordinates (Angstroms)
 Number     Number       Type             X           Y           Z
 ---------------------------------------------------------------------
      1          6           0        3.072697    1.119630    0.125024
      2          6           0        3.504630    0.163849   -1.012638
      3          6           0        3.075849   -1.099022   -0.234799
      4          6           0        1.548480   -0.804492    0.031674
      5          6           0        1.539623    0.763339    0.247811
      6          6           0        0.724818    1.658353   -0.718302
      7          6           0       -0.801401    1.427288   -0.886701
      8          6           0       -1.511942    0.834275    0.333863
      9          6           0       -1.473419   -0.737195    0.488041
     10          6           0       -0.849991   -1.599771   -0.629210
     11          6           0        0.616367   -1.337536   -1.066505
     12          6           0       -3.050504    1.147780    0.427430
     13          6           0       -3.460734    0.142016    1.528374
     14          6           0       -3.000297   -1.083917    0.708036
     15          6           0       -3.723317   -0.805786   -0.603787
     16          6           0       -3.742983    0.523592   -0.775059
     17          6           0        3.788517   -0.852110    1.087986
     18          6           0        3.781325    0.469848    1.304104
     19          1           0        3.261974    2.186447   -0.019943
     20          1           0        4.579813    0.198830   -1.209467
     21          1           0        2.959044    0.311249   -1.950497
     22          1           0        3.260169   -2.067532   -0.706689
     23          1           0        1.273881   -1.298808    0.969731
     24          1           0        1.203282    0.984264    1.265734
     25          1           0        1.187204    1.646550   -1.712715
     26          1           0        0.869734    2.681913   -0.348045
     27          1           0       -1.003987    0.803604   -1.762201
     28          1           0       -1.252906    2.401479   -1.117059
     29          1           0       -1.061793    1.275646    1.231752
     30          1           0       -0.951302   -0.974217    1.422354
     31          1           0       -0.917062   -2.637607   -0.274449
     32          1           0       -1.484033   -1.553973   -1.521252
     33          1           0        1.019066   -2.290566   -1.432993
     34          1           0        0.639517   -0.666735   -1.930884
     35          1           0       -3.264886    2.204657    0.607720
     36          1           0       -2.911992    0.273702    2.468359
     37          1           0       -4.536297    0.140654    1.726891
     38          1           0       -3.165407   -2.071784    1.145933
     39          1           0       -4.060449   -1.561656   -1.304807
     40          1           0       -4.098953    1.068415   -1.642856
     41          1           0        4.119952   -1.630015    1.767975
     42          1           0        4.109120    0.994632    2.195357
